Location,2019_income,2020_income,2021_income,2021_rank_in_state,2020_perc_change,2021_perc_change,2021_rank_in_state_1
Hopkins,40078,42536,46673,39,6.1,9.7,48
Jackson,30843,34343,38055,112,11.3,10.8,32
Jefferson,53360,57290,61474,3,7.4,7.3,95
Jessamine,48173,51543,55040,11,7,6.8,105
Johnson,33813,37208,41110,90,10,10.5,38
Kenton,58804,63533,67808,2,8,6.7,106
Knott,32172,36448,41185,88,13.3,13,15
Knox,30709,35312,39901,103,15,13,16
Larue,37766,41291,45069,52,9.3,9.1,59
Laurel,33602,37362,41037,92,11.2,9.8,45
Lawrence,31541,34590,38139,111,9.7,10.3,41
Lee,28856,32876,36847,116,13.9,12.1,23
Leslie,31744,35932,40852,95,13.2,13.7,12
Letcher,31543,35818,40315,99,13.6,12.6,19
Lewis,32115,36513,40075,102,13.7,9.8,46
Lincoln,33872,37441,40880,94,10.5,9.2,56
Livingston,39641,44169,47052,35,11.4,6.5,109
Logan,37418,40765,45732,45,8.9,12.2,22
Lyon,35856,39460,41762,80,10.1,5.8,117
McCracken,47619,52296,56089,8,9.8,7.3,96
McCreary,26951,31370,35811,118,16.4,14.2,8
McLean,39711,41707,50679,21,5,21.5,2
Madison,36997,40275,42808,71,8.9,6.3,112
Magoffin,34157,39470,43913,63,15.6,11.3,29
Marion,37396,40610,43909,64,8.6,8.1,78
Marshall,42695,46261,48292,29,8.4,4.4,120
Martin,28512,32984,35932,117,15.7,8.9,65
Mason,40268,44145,47927,31,9.6,8.6,73
Meade,39859,43040,46893,38,8,9,64
Menifee,33644,37592,41028,93,11.7,9.1,60
Mercer,37023,39945,43163,70,7.9,8.1,81
Metcalfe,31241,34628,38284,110,10.8,10.6,36
Monroe,35242,39461,44045,61,12,11.6,26
Montgomery,36140,39770,42710,74,10,7.4,92
Morgan,27348,30732,33208,119,12.4,8.1,80
Muhlenberg,34740,37023,40634,98,6.6,9.8,47
Nelson,44046,47852,51367,18,8.6,7.3,93
Nicholas,34420,37934,41414,84,10.2,9.2,57
Ohio,33468,36448,41201,87,8.9,13,13
Oldham,66002,68532,73110,1,3.8,6.7,107
Owen,33300,36536,39661,105,9.7,8.6,74
Owsley,33966,39487,45731,46,16.3,15.8,4
Pendleton,45918,46909,51933,16,2.2,10.7,34
Perry,35367,39558,44108,60,11.9,11.5,27
Pike,35348,39062,42691,75,10.5,9.3,53
Powell,30680,34947,37993,113,13.9,8.7,70
Pulaski,38839,42524,46607,40,9.5,9.6,50
Robertson,33465,38772,41155,89,15.9,6.1,116
Rockcastle,33647,37428,41290,86,11.2,10.3,40
Rowan,31789,34847,37769,114,9.6,8.4,77
Russell,37957,41673,45383,48,9.8,8.9,67
Scott,46155,49207,52325,15,6.6,6.3,111
Shelby,48177,51798,55471,9,7.5,7.1,99
Simpson,37210,40876,44178,58,9.9,8.1,79
Spencer,47187,50240,53915,13,6.5,7.3,94
Taylor,35200,39022,41752,81,10.9,7,100
Todd,39044,41776,46946,37,7,12.4,21
Trigg,40074,43726,47026,36,9.1,7.5,89
Trimble,40013,43854,47815,32,9.6,9,61
Union,38529,43417,49499,26,12.7,14,10
Warren,38686,41516,43812,65,7.3,5.5,118
Washington,38865,42401,45807,44,9.1,8,82
Wayne,30300,34737,38628,109,14.6,11.2,30
Webster,39708,41820,48336,28,5.3,15.6,5
Whitley,34631,38398,42266,76,10.9,10.1,42
Wolfe,33886,39286,45286,51,15.9,15.3,6
Woodford,53587,56003,59860,5,4.5,6.9,103
,,,,,,,
Louisiana,47668,50809,54217,,6.6,6.7,
Acadia,39740,43800,45805,43,10.2,4.6,60
Allen,38723,41335,42949,56,6.7,3.9,62
Ascension,52409,55067,58566,7,5.1,6.4,45
Assumption,50156,52452,56352,12,4.6,7.4,30
Avoyelles,38845,42588,45777,44,9.6,7.5,29
Beauregard,44208,47500,50015,23,7.4,5.3,57
Bienville,39088,42743,46442,41,9.4,8.7,13
Bossier,45177,48685,51970,18,7.8,6.7,40
Caddo,49516,53120,57420,10,7.3,8.1,16
Calcasieu,45824,47033,50775,20,2.6,8,18
Caldwell,35695,39210,42049,60,9.8,7.2,35
Cameron,57177,58059,63384,2,1.5,9.2,9
Catahoula,35868,40839,43386,52,13.9,6.2,50
Claiborne,37546,40076,43953,51,6.7,9.7,4
Concordia,34181,39748,43299,53,16.3,8.9,11
De Soto,44449,47201,51447,19,6.2,9,10
East Baton Rouge,51846,55983,59352,5,8,6,53
East Carroll,31647,36557,39981,62,15.5,9.4,6
East Feliciana,41686,44155,47562,33,5.9,7.7,25
Evangeline,34441,39226,42109,59,13.9,7.3,33
Franklin,33029,37627,40589,61,13.9,7.9,21
Grant,32122,35264,37764,63,9.8,7.1,37
Iberia,40679,43961,47594,32,8.1,8.3,15
Iberville,45244,49075,52930,17,8.5,7.9,22
Jackson,35609,39074,43272,54,9.7,10.7,1
Jefferson,51166,54927,58284,8,7.4,6.1,52
Jefferson Davis,42421,45304,46922,37,6.8,3.6,64
Lafayette,50776,54881,57674,9,8.1,5.1,58
Lafourche,45735,47063,49614,26,2.9,5.4,56
LaSalle,34187,36200,37546,64,5.9,3.7,63
Lincoln,39954,42437,45588,46,6.2,7.4,31
Livingston,43706,45974,48854,31,5.2,6.3,49
Madison,34545,41229,44828,50,19.3,8.7,12
Morehouse,37252,41664,44860,49,11.8,7.7,27
Natchitoches,41188,43373,46579,39,5.3,7.4,32
Orleans,54357,58233,62249,3,7.1,6.9,39
Ouachita,40088,43726,46804,38,9.1,7,38
Plaquemines,47781,51841,55108,13,8.5,6.3,46
Pointe Coupee,50714,54571,58807,6,7.6,7.8,23
Rapides,46088,50556,54153,16,9.7,7.1,36
Red River,46244,50003,54964,14,8.1,9.9,3
Richland,38869,42971,45736,45,10.6,6.4,43
Sabine,38645,41254,45105,48,6.8,9.3,7
St. Bernard,36192,39448,42310,57,9,7.3,34
St. Charles,50312,53773,56921,11,6.9,5.9,54
St. Helena,42128,46176,50554,22,9.6,9.5,5
St. James,54886,57847,61471,4,5.4,6.3,48
St. John the Baptist,41980,45407,49045,29,8.2,8,17
St. Landry,41829,45734,49358,28,9.3,7.9,19
St. Martin,39827,43012,46248,42,8,7.5,28
St. Mary,41049,45507,49034,30,10.9,7.8,24
St. Tammany,69471,66999,71361,1,-3.6,6.5,41
Tangipahoa,40912,44234,47076,35,8.1,6.4,44
Tensas,41300,46399,50669,21,12.3,9.2,8
Terrebonne,43385,46751,49612,27,7.8,6.1,51
Union,42278,45030,49647,25,6.5,10.3,2
Vermilion,41032,43670,46494,40,6.4,6.5,42
Vernon,41732,44514,47307,34,6.7,6.3,47
Washington,35745,38878,42225,58,8.8,8.6,14
Webster,42116,46378,49944,24,10.1,7.7,26
West Baton Rouge,48301,51864,54404,15,7.4,4.9,59
West Carroll,34982,41431,43241,55,18.4,4.4,61
West Feliciana,40309,42753,45199,47,6.1,5.7,55
Winn,39040,43630,47071,36,11.8,7.9,20
,,,,,,,
Maine,50728,54912,58484,,8.2,6.5,
Androscoggin,42075,46144,49766,11,9.7,7.8,1
Aroostook,42725,47070,49883,10,10.2,6,13
Cumberland,64975,69624,73972,1,7.2,6.2,9
Franklin,40801,44219,47206,14,8.4,6.8,5
Hancock,53152,56977,60105,3,7.2,5.5,14
Kennebec,46421,50530,53658,7,8.9,6.2,10
Knox,53097,56532,59420,6,6.5,5.1,15
Lincoln,52586,55972,59613,5,6.4,6.5,7
Oxford,39353,42694,45332,16,8.5,6.2,11
Penobscot,43086,47574,50480,9,10.4,6.1,12
Piscataquis,40332,45711,48987,13,13.3,7.2,4
Sagadahoc,52027,56312,59843,4,8.2,6.3,8
Somerset,39371,43610,46860,15,10.8,7.5,2
Waldo,44788,48538,51757,8,8.4,6.6,6
Washington,42051,46891,49280,12,11.5,5.1,16
York,54335,58085,62355,2,6.9,7.4,3
,,,,,,,
Maryland,62313,65685,69817,,5.4,6.3,
Allegany,41720,45070,47347,22,8,5.1,24
Anne Arundel,68225,72003,76059,4,5.5,5.6,20
Baltimore,61459,65502,69561,7,6.6,6.2,12
Calvert,63780,66872,70690,6,4.8,5.7,19
Caroline,46197,48287,53549,19,4.5,10.9,2
Carroll,62251,65635,69397,8,5.4,5.7,18
Cecil,49070,51681,55293,16,5.3,7,7
Charles,56518,60334,63939,13,6.8,6,16
Dorchester,46221,49363,54075,18,6.8,9.5,3
Frederick,62317,65338,68704,9,4.8,5.2,23
Garrett,46295,49772,53008,20,7.5,6.5,10
Harford,59333,62868,66633,11,6,6,14
Howard,78013,82041,86380,2,5.2,5.3,22
Kent,59791,63494,67648,10,6.2,6.5,9
Montgomery,86039,87507,92740,1,1.7,6,15
Prince George's,47269,51300,54916,17,8.5,7,6
Queen Anne's,68447,71470,75811,5,4.4,6.1,13
St. Mary's,58853,61874,65762,12,5.1,6.3,11
Somerset,31463,33037,37395,24,5,13.2,1
Talbot,75466,80052,84695,3,6.1,5.8,17
Washington,46141,49510,52897,21,7.3,6.8,8
Wicomico,40580,43648,46893,23,7.6,7.4,5
Worcester,57078,60440,63811,14,5.9,5.6,21
Baltimore City,50073,54153,58556,15,8.1,8.1,4
,,,,,,,
Massachusetts,73213,78388,83653,,7.1,6.7,
Barnstable,74107,79136,83191,6,6.8,5.1,12
Berkshire,56861,61586,65050,10,8.3,5.6,11
Bristol,55047,61116,64924,11,11,6.2,8
Dukes,79853,81631,86341,5,2.2,5.8,10
Essex,68305,73101,78093,8,7,6.8,5
Franklin,56241,60297,63366,12,7.2,5.1,13
Hampden,53167,58071,61522,13,9.2,5.9,9
Hampshire,54754,58133,60717,14,6.2,4.4,14
Middlesex,87174,92013,98523,4,5.6,7.1,3
Nantucket,96986,93793,101902,2,-3.3,8.6,1
Norfolk,93360,97787,104059,1,4.7,6.4,6
Plymouth,69610,75025,79817,7,7.8,6.4,7
Suffolk,83428,90941,98644,3,9,8.5,2
Worcester,56730,61577,65793,9,8.5,6.8,4
,,,,,,,
Michigan,49142,53388,56494,,8.6,5.8,
Alcona,41782,46504,49262,35,11.3,5.9,39
Alger,35126,39479,42171,77,12.4,6.8,10
Allegan,46130,50402,53375,22,9.3,5.9,40
Alpena,40817,45497,48428,41,11.5,6.4,23
Antrim,49163,53579,55759,16,9,4.1,80
Arenac,39779,44841,47470,48,12.7,5.9,41
Baraga,34669,39616,41772,78,14.3,5.4,51
Barry,46199,49975,52951,24,8.2,6,37
Bay,43230,47430,50396,29,9.7,6.3,30
Benzie,47113,52273,54684,19,11,4.6,74
Berrien,49735,54303,59656,10,9.2,9.9,1
Branch,37279,41384,45325,59,11,9.5,3
Calhoun,40497,44796,47789,44,10.6,6.7,12
Cass,45827,51045,56042,14,11.4,9.8,2
Charlevoix,53854,59153,62505,6,9.8,5.7,47
Cheboygan,40691,45719,48078,42,12.4,5.2,57
Chippewa,35733,40410,42943,74,13.1,6.3,29
Clare,34775,38991,40710,80,12.1,4.4,77
Clinton,48051,51861,54719,18,7.9,5.5,49
Crawford,37722,42782,44116,66,13.4,3.1,81
Delta,40047,44204,46524,54,10.4,5.2,55
Dickinson,46741,50975,55335,17,9.1,8.6,4
Eaton,43887,47981,50743,27,9.3,5.8,45
Emmet,58421,63571,66826,4,8.8,5.1,59
Genesee,42141,46371,49399,32,10,6.5,18
Gladwin,38377,41637,44068,67,8.5,5.8,43
Gogebic,42173,46469,48705,40,10.2,4.8,68
Grand Traverse,52710,57453,60388,9,9,5.1,61
Gratiot,36244,40793,43249,73,12.6,6,34
Hillsdale,35908,39486,42365,76,10,7.3,8
Houghton,37044,40803,43809,68,10.1,7.4,7
Huron,45222,52150,55774,15,15.3,6.9,9
Ingham,42183,46669,49608,31,10.6,6.3,27
Ionia,34416,38396,40849,79,11.6,6.4,25
Iosco,39258,44079,46918,52,12.3,6.4,24
Iron,44218,47339,49653,30,7.1,4.9,67
Isabella,39018,43582,45657,58,11.7,4.8,72
Jackson,39775,44152,47503,47,11,7.6,5
Kalamazoo,50835,54954,58524,12,8.1,6.5,21
Kalkaska,36560,41541,43609,69,13.6,5,65
Kent,54507,58706,61852,8,7.7,5.4,52
Keweenaw,50936,56579,59593,11,11.1,5.3,53
Lake,33362,37938,38989,83,13.7,2.8,82
Lapeer,44648,49285,52034,26,10.4,5.6,48
Leelanau,70525,75114,78457,2,6.5,4.5,76
Lenawee,40377,44112,46929,51,9.3,6.4,26
Livingston,59309,62640,65883,5,5.6,5.2,56
Luce,35772,41624,43526,71,16.4,4.6,75
Mackinac,44726,50473,53230,23,12.8,5.5,50
Macomb,47350,51798,54258,20,9.4,4.7,73
Manistee,40528,44375,46489,55,9.5,4.8,71
Marquette,40494,44933,47870,43,11,6.5,16
Mason,41900,46365,48733,39,10.7,5.1,62
Mecosta,37154,41440,44177,65,11.5,6.6,13
Menominee,41962,45802,48873,37,9.2,6.7,11
Midland,54951,58544,62055,7,6.5,6,36
Missaukee,36752,41488,43609,69,12.9,5.1,60
Monroe,47726,50472,53509,21,5.8,6,35
Montcalm,34438,38314,40592,81,11.3,5.9,38
Montmorency,38520,43272,43331,72,12.3,0.1,83
Muskegon,39646,44159,46701,53,11.4,5.8,44
Newaygo,38065,42134,44597,63,10.7,5.8,42
Oakland,72614,77030,80962,1,6.1,5.1,63
Oceana,39469,43760,46015,57,10.9,5.2,58
Ogemaw,34956,39841,42781,75,14,7.4,6
Ontonagon,40398,45324,47563,45,12.2,4.9,66
Osceola,39164,43341,45167,60,10.7,4.2,78
Oscoda,34885,37619,39929,82,7.8,6.1,32
Otsego,41441,46664,49320,33,12.6,5.7,46
Ottawa,49800,53507,56076,13,7.4,4.8,69
Presque Isle,40274,44888,47138,50,11.5,5,64
Roscommon,38065,42721,44518,64,12.2,4.2,79
Saginaw,42114,46419,49274,34,10.2,6.2,31
St. Clair,45733,50390,52805,25,10.2,4.8,70
St. Joseph,38688,43372,46199,56,12.1,6.5,20
Sanilac,38325,44249,47144,49,15.5,6.5,15
Schoolcraft,41573,46639,49103,36,12.2,5.3,54
Shiawassee,40570,44809,47525,46,10.4,6.1,33
Tuscola,37522,42155,44908,61,12.3,6.5,17
Van Buren,41782,45781,48770,38,9.6,6.5,19
Washtenaw,61447,64636,68688,3,5.2,6.3,28
Wayne,43271,47533,50610,28,9.8,6.5,22
Wexford,37886,41937,44697,62,10.7,6.6,14
,,,,,,,
Minnesota,58543,62240,66280,,6.3,6.5,
Aitkin,42044,46856,49255,83,11.4,5.1,76
Anoka,52820,56014,59397,29,6,6,64
Becker,48118,51710,56147,55,7.5,8.6,24
Beltrami,43165,47241,50833,78,9.4,7.6,29
Benton,45691,49675,53214,69,8.7,7.1,37
Big Stone,49836,58966,64816,15,18.3,9.9,11
Blue Earth,45468,49109,51834,74,8,5.5,72
Brown,52840,57177,60615,25,8.2,6,66
Carlton,43646,46796,49797,82,7.2,6.4,52
Carver,73785,76137,80562,2,3.2,5.8,70
Cass,47869,51803,56491,52,8.2,9,19
Chippewa,48039,52027,57395,44,8.3,10.3,9
Chisago,51197,54113,57574,43,5.7,6.4,54
Clay,43312,47440,51260,77,9.5,8.1,27
Clearwater,46005,51893,54687,62,12.8,5.4,73
Cook,53157,56400,59112,31,6.1,4.8,79
Cottonwood,44993,54800,58229,40,21.8,6.3,56
Crow Wing,46170,49561,54260,65,7.3,9.5,14
Dakota,61297,64089,67927,7,4.6,6,67
Dodge,47126,52462,56410,53,11.3,7.5,31
Douglas,51776,55854,59909,28,7.9,7.3,36
Faribault,42468,49095,54496,63,15.6,11,7
Fillmore,43899,49006,51972,72,11.6,6.1,63
Freeborn,44984,49480,53790,67,10,8.7,23
Goodhue,54665,57401,60933,24,5,6.2,59
Grant,45510,53681,57261,45,18,6.7,48
Hennepin,76905,80429,85505,1,4.6,6.3,55
Houston,51628,55330,59140,30,7.2,6.9,43
Hubbard,50828,53768,57111,46,5.8,6.2,57
Isanti,46713,49721,53189,70,6.4,7,41
Itasca,45393,48240,51563,75,6.3,6.9,42
Jackson,52652,60415,63311,18,14.7,4.8,80
Kanabec,44473,49721,51935,73,11.8,4.5,84
Kandiyohi,52094,55811,58345,37,7.1,4.5,82
Kittson,46733,63269,67536,8,35.4,6.7,46
Koochiching,46188,49257,52256,71,6.6,6.1,61
Lac qui Parle,49909,58221,65109,13,16.7,11.8,5
Lake,47886,50311,53868,66,5.1,7.1,39
Lake of the Woods,54841,56693,61309,21,3.4,8.1,26
Le Sueur,50203,54455,58146,41,8.5,6.8,45
Lincoln,46805,51669,57110,47,10.4,10.5,8
Lyon,49751,55067,58433,34,10.7,6.1,60
McLeod,48098,52942,56689,50,10.1,7.1,38
Mahnomen,34548,41569,47898,84,20.3,15.2,1
Marshall,50621,63411,68963,6,25.3,8.8,22
Martin,51498,55701,61216,22,8.2,9.9,12
Meeker,45003,49515,53728,68,10,8.5,25
Mille Lacs,43509,47312,50104,81,8.7,5.9,69
Morrison,41933,47136,50229,80,12.4,6.6,50
Mower,46076,50565,55320,59,9.7,9.4,15
Murray,52874,62101,63623,17,17.5,2.5,86
Nicollet,50427,53688,56992,48,6.5,6.2,58
Nobles,43841,52093,54479,64,18.8,4.6,81
Norman,37092,49702,56502,51,34,13.7,3
Olmsted,58724,62179,65959,9,5.9,6.1,62
Otter Tail,47353,51840,55698,57,9.5,7.4,34
Pennington,54201,59713,65416,11,10.2,9.6,13
Pine,39550,43572,45538,87,10.2,4.5,83
Pipestone,53252,58005,61106,23,8.9,5.3,74
Polk,46566,53803,58682,33,15.5,9.1,18
Pope,50080,55881,60173,27,11.6,7.7,28
Ramsey,54587,58217,62594,19,6.6,7.5,32
Red Lake,49604,57090,65147,12,15.1,14.1,2
Redwood,52951,60667,63700,16,14.6,5,77
Renville,47453,56369,61406,20,18.8,8.9,20
Rice,45230,48412,51545,76,7,6.5,51
Rock,48827,56690,57744,42,16.1,1.9,87
Roseau,47177,54279,60337,26,15.1,11.2,6
St. Louis,48188,51537,55303,60,6.9,7.3,35
Scott,62909,65602,69243,5,4.3,5.6,71
Sherburne,49291,52201,55341,58,5.9,6,65
Sibley,47861,53512,58242,39,11.8,8.8,21
Stearns,48925,53151,56711,49,8.6,6.7,47
Steele,46534,50483,55176,61,8.5,9.3,16
Stevens,47917,56612,58335,38,18.1,3,85
Swift,46446,53559,58433,34,15.3,9.1,17
Todd,42688,43743,47069,85,2.5,7.6,30
Traverse,49390,68763,73574,4,39.2,7,40
Wabasha,50078,55622,58382,36,11.1,5,78
Wadena,39290,43488,46380,86,10.7,6.7,49
Waseca,41646,47174,50409,79,13.3,6.9,44
Washington,69775,72430,76733,3,3.8,5.9,68
Watonwan,44416,50842,55899,56,14.5,9.9,10
Wilkin,48502,58334,65570,10,20.3,12.4,4
Winona,49315,53431,56240,54,8.3,5.3,75
Wright,52363,55217,58756,32,5.5,6.4,53
Yellow Medicine,54679,60552,65068,14,10.7,7.5,33
,,,,,,,
Mississippi,39445,42716,45881,,8.3,7.4,
Adams,36413,39621,42911,42,8.8,8.3,37
Alcorn,38576,41396,44255,31,7.3,6.9,55
Amite,33523,35618,39407,66,6.2,10.6,18
Attala,35013,39450,42044,46,12.7,6.6,60
Benton,34858,37877,41767,50,8.7,10.3,20
Bolivar,37303,41211,46512,12,10.5,12.9,10
Calhoun,35831,40299,43222,39,12.5,7.3,50
Carroll,37776,41232,44908,20,9.1,8.9,26
Chickasaw,36094,39510,41179,58,9.5,4.2,81
Choctaw,34454,37992,40804,60,10.3,7.4,47
Claiborne,31375,34891,37833,73,11.2,8.4,36
Clarke,38328,41601,43918,34,8.5,5.6,70
Clay,39833,43638,46228,14,9.6,5.9,69
Coahoma,37003,41488,44714,23,12.1,7.8,42
Copiah,33613,36223,39166,68,7.8,8.1,40
Covington,38557,39134,45169,18,1.5,15.4,2
DeSoto,44019,47078,50982,4,6.9,8.3,38
Forrest,36994,40216,42853,43,8.7,6.6,62
Franklin,35908,38685,40443,61,7.7,4.5,80
George,34072,38208,39807,64,12.1,4.2,82
Greene,28265,30485,33133,82,7.9,8.7,29
Grenada,35452,38553,41935,47,8.7,8.8,27
Hancock,38155,41867,44776,21,9.7,6.9,54
Harrison,38492,42037,44551,25,9.2,6,67
Hinds,40535,44415,47413,9,9.6,6.7,58
Holmes,29433,33280,36339,79,13.1,9.2,24
Humphreys,34551,39903,43981,33,15.5,10.2,21
Issaquena,24805,32026,34832,81,29.1,8.8,28
Itawamba,35790,39016,41579,53,9,6.6,61
Jackson,38894,42163,44945,19,8.4,6.6,59
Jasper,41047,41334,46041,16,0.7,11.4,15
Jefferson,33929,37139,40349,62,9.5,8.6,33
Jefferson Davis,29943,32452,36241,80,8.4,11.7,14
Jones,39102,41022,44494,27,4.9,8.5,35
Kemper,32026,36166,38314,71,12.9,5.9,68
Lafayette,43373,45615,47824,8,5.2,4.8,77
Lamar,41585,44325,47129,11,6.6,6.3,64
Lauderdale,40424,44001,46219,15,8.8,5,76
Lawrence,36191,37809,42275,44,4.5,11.8,13
Leake,34110,34488,39087,69,1.1,13.3,8
Lee,44363,48080,51703,2,8.4,7.5,44
Leflore,38631,43521,48265,6,12.7,10.9,17
Lincoln,39236,41755,44688,24,6.4,7,53
Lowndes,40592,44039,47137,10,8.5,7,52
Madison,65464,69925,73485,1,6.8,5.1,74
Marion,38807,40203,43035,41,3.6,7,51
Marshall,36435,39947,43724,36,9.6,9.5,23
Monroe,37602,40976,44332,29,9,8.2,39
Montgomery,35009,38639,41252,57,10.4,6.8,57
Neshoba,37989,39519,43915,35,4,11.1,16
Newton,35654,36925,41367,56,3.6,12,11
Noxubee,35266,38306,44360,28,8.6,15.8,1
Oktibbeha,34454,36768,38463,70,6.7,4.6,79
Panola,34489,38751,42074,45,12.4,8.6,34
Pearl River,38224,40667,43214,40,6.4,6.3,65
Perry,34208,37403,40243,63,9.3,7.6,43
Pike,31391,34320,37461,76,9.3,9.2,25
Pontotoc,35400,38936,41866,49,10,7.5,45
Prentiss,32094,34953,37701,75,8.9,7.9,41
Quitman,31506,36525,41682,52,15.9,14.1,6
Rankin,45496,48595,51235,3,6.8,5.4,73
Scott,31765,32961,37792,74,3.8,14.7,4
Sharkey,36950,44102,50467,5,19.4,14.4,5
Simpson,38405,40004,44174,32,4.2,10.4,19
Smith,39661,40309,46337,13,1.6,15,3
Stone,34653,37262,39547,65,7.5,6.1,66
Sunflower,29664,33938,37950,72,14.4,11.8,12
Tallahatchie,31982,36529,41558,54,14.2,13.8,7
Tate,38141,41180,44749,22,8,8.7,31
Tippah,38433,42300,44301,30,10.1,4.7,78
Tishomingo,35811,38796,41457,55,8.3,6.9,56
Tunica,33864,39893,41904,48,17.8,5,75
Union,35412,38697,41155,59,9.3,6.4,63
Walthall,33551,35664,39169,67,6.3,9.8,22
Warren,41184,44905,48214,7,9,7.4,48
Washington,36815,41701,45319,17,13.3,8.7,30
Wayne,37296,38401,43439,37,3,13.1,9
Webster,39308,42236,44543,26,7.4,5.5,72
Wilkinson,30188,34316,36890,77,13.7,7.5,46
Winston,37305,39796,43238,38,6.7,8.6,32
Yalobusha,36651,39591,41761,51,8,5.5,71
Yazoo,28399,34042,36515,78,19.9,7.3,49
,,,,,,,
Missouri,49001,52108,55325,,6.3,6.2,
Adair,33223,35904,37898,108,8.1,5.6,77
Andrew,44650,47612,50693,19,6.6,6.5,42
Atchison,44786,49644,54179,10,10.8,9.1,9
Audrain,37613,41328,44319,61,9.9,7.2,22
Barry,36511,38718,41248,88,6,6.5,40
Barton,35273,40842,42329,81,15.8,3.6,108
Bates,40670,44537,46821,43,9.5,5.1,93
Benton,38951,40715,43097,73,4.5,5.9,66
Bollinger,38100,41916,44552,60,10,6.3,52
Boone,49251,51723,54522,9,5,5.4,85
Buchanan,40780,43594,46362,47,6.9,6.3,49
Butler,36123,40610,43194,71,12.4,6.4,47
Caldwell,39967,42976,45802,53,7.5,6.6,39
Callaway,40115,43671,46191,48,8.9,5.8,70
Camden,42487,46149,53779,12,8.6,16.5,1
Cape Girardeau,43856,46449,48732,27,5.9,4.9,98
Carroll,47192,51232,54784,8,8.6,6.9,31
Carter,38969,42787,45237,56,9.8,5.7,73
Cass,48865,51409,54020,11,5.2,5.1,95
Cedar,31770,34960,36748,112,10,5.1,94
Chariton,44366,48933,51590,16,10.3,5.4,82
Christian,42877,45374,48509,30,5.8,6.9,33
Clark,36830,40770,43325,70,10.7,6.3,54
Clay,49328,52450,56118,5,6.3,7,29
Clinton,42840,46082,48730,28,7.6,5.7,71
Cole,48294,52134,54941,7,8,5.4,86
Cooper,39949,44416,47383,37,11.2,6.7,37
Crawford,37178,40033,43192,72,7.7,7.9,14
Dade,35396,38902,42127,82,9.9,8.3,12
Dallas,34321,36355,38983,101,5.9,7.2,23
Daviess,33034,36377,37739,109,10.1,3.7,106
DeKalb,34261,36198,38366,105,5.7,6,60
Dent,35734,39091,41420,86,9.4,6,62
Douglas,32368,35738,37992,107,10.4,6.3,51
Dunklin,36417,39435,43809,66,8.3,11.1,8
Franklin,46380,49094,51952,15,5.9,5.8,68
Gasconade,40633,43585,45866,52,7.3,5.2,90
Gentry,45703,49591,50953,18,8.5,2.7,112
Greene,45900,48134,51220,17,4.9,6.4,43
Grundy,34882,38424,40504,94,10.2,5.4,84
Harrison,37241,41726,43767,67,12,4.9,99
Henry,41931,45715,48924,25,9,7,27
Hickory,33430,36800,38100,106,10.1,3.5,109
Holt,50637,56930,58888,4,12.4,3.4,110
Howard,40891,44142,46854,40,8,6.1,57
Howell,35728,38446,40358,95,7.6,5,97
Iron,35263,38593,41182,91,9.4,6.7,36
Jackson,46644,49915,53112,13,7,6.4,44
Jasper,39842,41265,43859,65,3.6,6.3,53
Jefferson,44193,46665,49392,23,5.6,5.8,67
Johnson,37599,40141,46526,46,6.8,15.9,2
Knox,37209,41419,42987,75,11.3,3.8,105
Laclede,36383,39088,41266,87,7.4,5.6,76
Lafayette,42782,46053,49491,22,7.6,7.5,19
Lawrence,35094,37596,39889,98,7.1,6.1,59
Lewis,35602,38514,41823,84,8.2,8.6,11
Lincoln,42511,45097,47686,35,6.1,5.7,72
Linn,39614,43234,45966,51,9.1,6.3,50
Livingston,39106,43802,46069,50,12,5.2,91
McDonald,29020,31657,35275,115,9.1,11.4,7
Macon,41152,44838,47691,34,9,6.4,48
Madison,36166,39546,41068,93,9.3,3.8,104
Maries,36105,39120,41212,89,8.4,5.3,88
Marion,41063,44348,47304,38,8,6.7,38
Mercer,32105,35568,37104,111,10.8,4.3,103
Miller,37824,41385,43510,69,9.4,5.1,92
Mississippi,31911,36534,39424,99,14.5,7.9,13
Moniteau,38417,43446,46530,45,13.1,7.1,25
Monroe,41106,43467,47215,39,5.7,8.6,10
Montgomery,41856,46685,49923,21,11.5,6.9,30
Morgan,41617,44776,47637,36,7.6,6.4,46
New Madrid,37247,43079,49093,24,15.7,14,4
Newton,39711,42442,45190,57,6.9,6.5,41
Nodaway,33241,37241,39258,100,12,5.4,83
Oregon,37005,40775,42966,76,10.2,5.4,87
Osage,46003,49948,52701,14,8.6,5.5,79
Ozark,33351,36728,38401,104,10.1,4.6,102
Pemiscot,36126,40570,46840,42,12.3,15.5,3
Perry,42747,45738,48474,31,7,6,61
Pettis,37712,40827,43693,68,8.3,7,26
Phelps,39464,42213,44205,62,7,4.7,101
Pike,36936,40344,42546,79,9.2,5.5,80
Platte,58704,60838,63771,2,3.6,4.8,100
Polk,36178,38301,41119,92,5.9,7.4,20
Pulaski,41300,43973,44759,59,6.5,1.8,114
Putnam,36103,39446,41629,85,9.3,5.5,78
Ralls,40326,44503,47714,33,10.4,7.2,24
Randolph,38661,43507,46164,49,12.5,6.1,58
Ray,42782,45644,48843,26,6.7,7,28
Reynolds,36189,40045,43066,74,10.7,7.5,16
Ripley,37947,42565,45666,54,12.2,7.3,21
St. Charles,55706,58134,61752,3,4.4,6.2,55
