Location,2019_income,2020_income,2021_income,2021_rank_in_state,2020_perc_change,2021_perc_change,2021_rank_in_state_1
District of Columbia,84671,89735,96477,,6,7.5,
,,,,,,,
Florida,54560,57292,62270,,5,8.7,
Alachua,45870,48858,52367,27,6.5,7.2,44
Baker,35058,37403,40735,48,6.7,8.9,17
Bay,46452,50394,53980,24,8.5,7.1,46
Bradford,34515,36956,39748,50,7.1,7.6,39
Brevard,48725,51769,55477,20,6.2,7.2,45
Broward,54387,57878,64453,12,6.4,11.4,2
Calhoun,30016,33042,35792,58,10.1,8.3,24
Charlotte,46707,49052,51677,30,5,5.4,63
Citrus,39985,42292,45050,39,5.8,6.5,50
Clay,45319,48070,51885,28,6.1,7.9,33
Collier,110272,112479,117984,1,2,4.9,66
Columbia,37206,39839,43184,44,7.1,8.4,23
DeSoto,28389,30286,32873,63,6.7,8.5,21
Dixie,29496,32064,33813,61,8.7,5.5,61
Duval,47097,50307,54354,22,6.8,8,31
Escambia,44739,47837,51808,29,6.9,8.3,25
Flagler,50695,52613,56336,19,3.8,7.1,47
Franklin,36528,38995,41878,45,6.8,7.4,43
Gadsden,37238,40463,44832,40,8.7,10.8,4
Gilchrist,36618,39046,41769,46,6.6,7,48
Glades,28683,31398,33401,62,9.5,6.4,54
Gulf,43025,45709,49250,35,6.2,7.7,36
Hamilton,27604,29767,32123,65,7.8,7.9,34
Hardee,29812,32358,35636,59,8.5,10.1,7
Hendry,34352,37672,39699,52,9.7,5.4,62
Hernando,39733,42585,46080,36,7.2,8.2,26
Highlands,36309,39163,41568,47,7.9,6.1,57
Hillsborough,50058,53432,58140,18,6.7,8.8,18
Holmes,32243,34564,37381,56,7.2,8.2,27
Indian River,86856,89294,95109,5,2.8,6.5,51
Jackson,34518,36810,39322,53,6.6,6.8,49
Jefferson,43672,45771,50197,32,4.8,9.7,10
Lafayette,27405,29032,31218,66,5.9,7.5,40
Lake,43878,45880,49831,34,4.6,8.6,20
Lee,56549,59300,62885,14,4.9,6,58
Leon,46842,49821,54277,23,6.4,8.9,15
Levy,37460,40271,43272,43,7.5,7.5,42
Liberty,26830,29988,32872,64,11.8,9.6,11
Madison,33602,36338,39165,54,8.1,7.8,35
Manatee,53269,55550,59152,16,4.3,6.5,52
Marion,39153,41960,45152,38,7.2,7.6,38
Martin,92323,95026,102273,3,2.9,7.6,37
Miami-Dade,56137,57713,64849,11,2.8,12.4,1
Monroe,98415,99764,109136,2,1.4,9.4,13
Nassau,63408,66227,70010,9,4.4,5.7,59
Okaloosa,51512,54934,59384,15,6.6,8.1,29
Okeechobee,33555,35985,39747,51,7.2,10.5,6
Orange,46649,49597,54979,21,6.3,10.9,3
Osceola,36498,39421,43354,42,8,10,8
Palm Beach,89254,92773,100627,4,3.9,8.5,22
Pasco,43822,46696,50479,31,6.6,8.1,28
Pinellas,57635,60996,65936,10,5.8,8.1,30
Polk,38196,40970,43556,41,7.3,6.3,55
Putnam,34224,37129,40376,49,8.5,8.7,19
St. Johns,74335,76387,80062,6,2.8,4.8,67
St. Lucie,43308,45760,50038,33,5.7,9.3,14
Santa Rosa,47484,50016,53778,25,5.3,7.5,41
